Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2450859117,7.8144317189,6.6666218302,1.1544693917,4.5140620325,-0.3646957787,-2.1644594089,0.4652898655,7.5194723733,1.1766904837,0.3803909714,2.355119443,-3.6546262419,-6.8813020636,-5.6535020861,,,,,,,,
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4441632268,1.0555557875,11.1752702417,5.5541376226,13.7402049899,3.6113683923,21.0206487364,8.4332904816,6.1136851694,14.434741288,3.9005748734,2.6905219515,1.3100403924,2.366711931,
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8000000079,7.9000000037,5.5999999807,0.4000000189,-0.3000000187,-1.1999999895,-6.9000000018,-24.6999999862,3.4999999893,10.4000000187,11.1999999666,7.9000000098,6.8047621164,3.2397996706,3.012076171,4.2209651473,-6.9404615529,5.2474945406,10.8795774759,18.2614503246,20.7351248828,22.5930542991,13.8171458088,2.4128696925,3.4076547939,3.9185969858,5.1554405448,6.8135857698,4.8044727041,3.006980545,-0.6653533394,
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,5.745635292,2.9485968016,1.1049382618,-1.2515966447,1.7806439598,5.6372431783,-0.787842655,-1.4200396548,9.8365489705,-9.5756401695,-29.5889977013,-7.1999999862,9.6000000454,8.2999999798,13.2999999924,9.1000000077,-10.8378557357,9.00885254,13.5011733754,6.6666204988,7.9403314245,4.2313710176,5.7734905608,5.7095565962,5.7208199468,5.4310127385,5.8999999998,3.7608536832,3.3526102425,3.710057793,2.5501608598,1.4199675411,1.0007545996,1.7743687432,2.2265814138,3.3699886116,
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,4.6494653608,8.1497434886,7.7884672029,5.6187897296,0.5422056588,3.3037870495,2.8385755661,1.4630001789,0.0415571951,2.2087276069,-0.1324745115,1.2464611134,1.7701183169,1.7846866936,2.3214330322,3.2533217783,5.5471221705,5.0943262032,4.8270342441,3.7813875896,2.5460028719,0.9292119563,-1.031484011,2.383187691,2.7574991873,4.6497401488,9.0676721991,3.1947902961,4.0990808366,3.5283612971,4.5467683197,6.4710146708,12.1687198869,7.6478697902,7.3969827154,4.5363531192,0.0400110669,-8.5900037868,-3.6906535096,-5.3588257753,-4.6465430516,-1.615218183,0.3516450019,2.2776831531,0.8422035184,1.2322434404,
Arab World,ARB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,15.9031516136,8.5055009672,-0.7984761912,11.6050573549,9.1450675241,2.687083831,-8.9925725351,-6.573568997,1.0664045212,-2.1646095065,4.4628886547,-0.6263867107,5.5887753085,2.1210006803,13.1413550367,1.5296157818,4.795395003,3.2009387408,3.2098415982,2.7553157437,4.4786518246,4.1874136095,5.1003110535,1.8077843071,5.3715003416,1.6137115044,0.5842717354,5.3193441807,9.3356698214,5.7163470064,6.4953363746,4.5717672895,5.8373709032,0.4297668302,4.7757959307,3.5502473527,5.1725944815,3.6780272866,2.9199658796,3.4040669851,3.2219869209,
United Arab Emirates,ARE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,16.526856506,21.4393301702,-1.5896033199,20.923573077,23.8747749105,4.6591766741,-6.7193161857,-4.7458207,4.0169512796,-3.5944765174,-14.9581365645,3.381981709,-2.6189077038,12.3378912823,18.3279855336,0.8600819458,3.3449448618,1.2611909515,6.8961485505,6.6878864636,5.7984040613,8.1903986408,0.2919943487,2.9022136446,10.8527042126,1.3990850303,2.4334568104,8.8005408149,9.5664366372,4.8551411963,9.8373197735,3.1843901737,3.1918362761,-5.2429219067,1.6354490533,6.3589202034,5.1046794285,5.7899060703,3.2849261333,3.8288670557,3.0364597957,
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.4278428795,-0.8520215235,-5.3081968265,10.1302976614,10.5694333403,-0.6597261716,3.1919966234,4.8225007816,9.6795260081,3.045643319,5.6581310832,1.6284165163,2.811754041,5.5338043948,-0.0284121028,-2.0182515167,6.9341477554,-4.5061248025,10.2227634649,4.1517623424,-5.6895280002,-4.957178519,3.875123424,2.2117735038,-7.5866771841,7.8757798304,2.9099931306,-2.5569048769,-7.4961895837,-2.3989592189,12.6697100916,11.9407747322,5.9069194918,5.8362007037,-2.8452096106,5.5266898272,8.1110467707,3.8501788516,-3.3854570406,-0.7889989391,-4.4088396826,-10.8944848286,8.8370407958,9.0295733007,8.8516599201,8.0471515004,9.007650875,4.0572331035,-5.9185250763,10.1253981561,6.0039516928,-1.0264204544,2.4053237808,-2.5126153208,2.6472714148,-2.2453441337,
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.6999984844,-41.8000027438,-8.7999987938,5.4000027769,6.8999984167,5.8654007533,3.3210796969,7.2999999882,3.300000004,5.8999999986,9.5566415037,13.186300529,14.040795054,10.4678418593,13.8657112535,13.1980035155,13.7492019586,6.9000000017,-14.1499886401,2.1999999991,4.6999999986,7.2000000033,3.3000000018,3.600000001,3.2000000021,0.1999999978,
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8141112619,0.5383580081,-0.4016064257,-4.1666666667,1.9635343619,-2.613480055,-4.2372881356,0.4424778761,0.2936857562,-4.39238653,-2.7565084227,0.9448818898,1.248049922,-2.6194144838,
